"房子名称","房子价格","房子单价","房子类型","房子地址","房子大小"
"五公里轻轨沿线 回龙湾小区 精装2房 朝中庭 住家安静","130","13265元/㎡","2室2厅1卫","回龙湾小区-学府大道二手房出售-回龙路66号","98㎡"
"温莎名苑三室两厅两卫清水房户型方正中间楼层","56.8","6107元/㎡","3室2厅2卫","柏涟温莎名苑-其他二手房出售-学府大道","93㎡"
"北大资源联排别墅  实际使用面积320平 带60平方的花园","280","14659元/㎡","5室3厅6卫","北大资源悦来-悦来二手房出售-悦城路33号","191㎡"
"大学城金科廊桥水乡 清水大两房 直厅大阳台 采光好 树人指标","83","11216元/㎡","2室2厅1卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","74㎡"
"单价10000起买两江新区 江景大平层  支持公积金 随时看","148","10496元/㎡","4室2厅2卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","141㎡"
"融创欧麓花园城 高品质别墅 送产权车位  280万实得套内2","280","16470元/㎡","6室2厅3卫","融创欧麓花园...-界石二手房出售-金鹿大道","170㎡"
"园博园轻轨站旁 精装正规两房出售 随时看房 拎包入住配套齐全","109.8","13604元/㎡","2室2厅1卫","园丁梦苑-鸳鸯二手房出售-湖月路，近金开大道","80㎡"
"花滩国际丁香郡观江房","75.8","8516元/㎡","3室2厅2卫","花滩国际新城...-丁香路26号","89㎡"
"南滨路长嘉汇，清水两房，户型方正，入住安静，看中庭","220","23913元/㎡","3室1厅2卫","长嘉汇汇璟-南滨路二手房出售-泰昌路69号","92㎡"
"江北嘴北滨二路上精装三房三条轻轨业主诚心出售","198","16894元/㎡","3室2厅2卫","恒大中央广场-江北城二手房出售-天澜大道49号","117㎡"
"20多万买知园小区，门槛低，门口就是轻轨二塘站","27","8437元/㎡","1室1厅1卫","知园小区-学府大道二手房出售-学府大道","32㎡"
"融侨半岛花湖汀精装四房 楼层高 全湖景 视线开扩","330","21740元/㎡","4室2厅2卫","融侨城二期A...-铜元局二手房出售-风临路17号","151㎡"
"重庆新地标 朝天门码头 纵观两江龙巢 豪华装修 奢华品质","450","34090元/㎡","2室2厅2卫","重庆来福士广...-朝天门二手房出售-陕西路9号","132㎡"
"重庆来福士广场地标豪宅，站立重庆之颠俯瞰山城之美，稀.缺小户","470","37301元/㎡","2室2厅2卫","重庆来福士广...-朝天门二手房出售-陕西路9号","126㎡"
"蔡家中庚城公寓 可做按揭 户型方正 采光好  楼下配套设施","38","9586元/㎡","2室2厅1卫","中庚城A区-蔡家岗二手房出售-云屏路82号","39㎡"
"272平米的别墅，才210万，如此单价的房子房源不多了","210","7720元/㎡","5室3厅4卫","云的左岸(别...-西彭二手房出售-福云大道399号","272㎡"
"万云府  微电园新盘 大平层 两梯两户 电梯直接入户 超大阳","115","12365元/㎡","3室2厅2卫","金科天宸-西永二手房出售-西盛路31号","93㎡"
"佳兴诚推北京城建正宗三房两卫清水房可装自己喜欢的风格户型超好","61","6288元/㎡","3室2厅2卫","欧陆经典住宅...-金龙大道388号","97㎡"
"龙湖西苑全看中庭 住家安静大阳台 全实木家具 装修奢华环境好","216","17560元/㎡","3室2厅2卫","龙湖西苑锦水...-龙湖西路83号","123㎡"
"宝嘉花与山 精装正规两房 仅售88万 看房方便 业主安心卖的","88","12753元/㎡","2室2厅1卫","宝嘉花与山东...-大学城二手房出售-学智路717号","69㎡"
"台北城三期，精装2房2厅1卫出售，家电家具齐全，看房方便。","93","13478元/㎡","2室2厅1卫","恒大未来城九...-大学城二手房出售-大学城南二路","69㎡"
"轻轨房，电梯小高层，瀚恩名苑豪装大3房，带家具家电哦","78","6902元/㎡","3室2厅2卫","瀚恩名苑-兴旺路","113㎡"
"羲城蓝湾，精装2房1厅1卫出售，家电齐全拎包入住，看房方便","56","11666元/㎡","2室1厅1卫","羲城蓝湾-大学城二手房出售-大学城思贤路20号","48㎡"
"中渝二期，住家装修2房2厅1卫出售，急售，品牌家电，看房方便","88","10664元/㎡","2室2厅1卫","中渝春华秋实...-大学城二手房出售-大学城东路","82㎡"
"谢家湾轻轨站育才中学旁，首创立方小区，住家两房，诚心出售","108","15000元/㎡","2室2厅1卫","首创立方-谢家湾二手房出售-龙腾大道79号","72㎡"
"北城蓝湖对面邻水人家，依山傍水的小区，住家舒适","45.8","5088元/㎡","3室2厅1卫","北城蓝湖B区-塔山东街66号","90㎡"
"仁安里 精装修2房 步行6分到轻轨十号线 三号线 随时看房","132","20952元/㎡","2室2厅1卫","仁安龙城国际-龙头寺二手房出售-新溉路881号","63㎡"
"江北区 庆业巴蜀城 近轻轨 交通方便配套成熟","260","17743元/㎡","4室2厅2卫","庆业巴蜀城-五里店二手房出售-海尔路6号","146㎡"
"攀华国际广场   精装    80.17平方  拎包入住","53","6610元/㎡","2室2厅1卫","攀华国际广场-李渡二手房出售-学府路","80㎡"
"渝北回兴 出门轻轨 5.1米跃层  水电气三通 地段成熟","96","15000元/㎡","1室1厅1卫","回兴欢乐颂-两路二手房出售-兴科大道222号","64㎡"
"天江鼎城雅园 3室2厅 210万，","210","15274元/㎡","3室2厅2卫","天江鼎城雅园-黄泥磅二手房出售-兴盛大道118号","137㎡"
"渝北翠云轻轨站旁 精装三房 拎包入住 朝中庭住家安静 买到赚","143.8","14718元/㎡","3室2厅2卫","联发瞰青2期-回兴二手房出售-金开大道1668号","97㎡"
"渝北回兴  兴科五路 万福花园  简装三室 上错户型","68","7157元/㎡","3室2厅1卫","万福花园-回兴二手房出售-兴科五路,圣宝西路","95㎡"
"江北黄泥磅青青丽苑三室两厅精装170万免营业税","170","19737元/㎡","3室2厅1卫","正升青青丽苑-黄泥磅二手房出售-红黄路441号","86㎡"
"沙坪坝马家岩轻轨 黄桷园 精装2房 读实验本部 业主安心卖","80","12403元/㎡","2室1厅1卫","黄桷园-观音桥二手房出售-黄桷园19号","64㎡"
"融侨花漫庭 住家大四房 装修很舒服 九成新 品质小区 安心卖","260","18567元/㎡","4室2厅2卫","融侨城花漫庭-铜元局二手房出售-风临路5号","140㎡"
"沙坪坝 杨公桥地铁出口旁 金鹏小区两室一厅 户型方正 采光好","65","8904元/㎡","2室1厅1卫","金鹏小区-杨公桥二手房出售-渝碚路,近天陈路","73㎡"
"渝北恒大世纪城金州商圈 轻轨房 精装修3房.一手房","155","16666元/㎡","3室1厅1卫","恒大世纪城-汽博中心二手房出售-湖红路56号","93㎡"
"双福 育才 御墅临枫 住家装修三居室 带全套家私 仅售75","74.8","8800元/㎡","3室2厅1卫","御墅临枫-行知路52号","85㎡"
"双福时代广场  启辰 经典三房  送超大露台","81","9204元/㎡","3室2厅1卫","双福时代国际...-双庆路,近津马大道","88㎡"
"渝北 新牌坊 法式独栋，山顶道国宾城御府，半山豪墅","1800","26666元/㎡","5室3厅5卫","山顶道国宾城...-黄泥磅二手房出售-金山路9号","675㎡"
"双福中心馨福苑精装小4房 全新未入住 只要70万！","74","9024元/㎡","4室2厅2卫","斌鑫馨福苑-双河路69号","82㎡"
"朝天门 热门楼盘 金禾丽都 精装三房看江 交通便利次新小区","150","15957元/㎡","3室2厅1卫","金禾丽都-解放碑二手房出售-道门口18号","94㎡"
"单价7600，买大学城一房， 28万起，超低税费，一手流程","40","8888元/㎡","1室1厅1卫","富力城河畔里-大学城二手房出售-大学城南路20号","45㎡"
"跳楼价了，金科廊桥大四房，户型方正，读树人临市一中，配套完善","138","11694元/㎡","4室2厅2卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","118㎡"
"凭江老陈，长江之星前排高层正江景，江山美景尽收眼底，此货抢手","69","9387元/㎡","3室2厅2卫","海成长江之星...-陈家坝二手房出售-梨花路","73㎡"
"长寿天工睿城精装3室2厅2卫，满2年，学区房急售","66.8","6816元/㎡","3室2厅2卫","天工睿城-凤城二手房出售-北二路57号","98㎡"
"渝北 空港 轻轨三号线旁锦绣丽舍精装三房 拎包入住 先到先得","125","10064元/㎡","3室2厅2卫","锦绣丽舍-双凤桥二手房出售-港汇路88号","124㎡"
"向阳街附近，住家装修2楼，***27.6万","28","3835元/㎡","3室2厅1卫","和平小区-沙坪坝周边二手房出售-向阳街259号","73㎡"
"渝北区 回兴 在水一方 精装修两房 交通便利 南北通透大阳台","80","9760元/㎡","2室1厅1卫","在水一方-回兴二手房出售-宝圣大道99号","81㎡"
"渝北区 回兴 西政旁 在水一方 精装三房 适中楼层 交通便利","105","10606元/㎡","3室2厅1卫","在水一方-回兴二手房出售-宝圣大道99号","99㎡"
"中铁任之健康城 养生渡假高端小区 精装修 湿地公园","69","10000元/㎡","2室2厅1卫","中铁任之健康...-三担路","69㎡"
"大礼堂 老文明小区 正规三房双卫 户型方正 采光好 中间楼层","115","9200元/㎡","3室2厅2卫","静园小区-上清寺二手房出售-人民路76号","125㎡"
"渝北回兴 圣湖天域 旁在水一方 三室两厅两卫  价格美丽","103","10510元/㎡","3室2厅2卫","在水一方-回兴二手房出售-宝圣大道99号","98㎡"
"经开区 江山多娇 住家大六房 送空中花园 一线江景 买到赚到","295","10766元/㎡","6室2厅3卫","江山多娇-经开区二手房出售-丹龙路2号","274㎡"
"复地天玺 体验天然氧吧 电梯高层 一线保利高尔夫场景 清水房","250","17006元/㎡","4室2厅2卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","147㎡"
"南坪轻轨现房 豪华亚朵五星酒店 毗邻三所高校 三号线轻轨出口","65","16169元/㎡","1室1厅1卫","天景美梦城真-学府大道二手房出售-学府大道69号","40㎡"
"普罗旺斯东岸正3室精装修户型方正采光效果好","66.8","8246元/㎡","3室2厅1卫","泽京普罗旺斯...-龙城大道799号","81㎡"
"香樟郡一室一厅一卫精装","40","6666元/㎡","1室1厅1卫","香樟郡-龙城大道219号","60㎡"
"美丽泽京清水房正2室户型方正采光好","45","7500元/㎡","2室2厅1卫","美丽泽京-金龙大道","60㎡"
"温莎名苑三室两厅两卫清水房户型方正中间楼层","56.8","6107元/㎡","3室2厅2卫","柏涟温莎名苑-其他二手房出售-学府大道","93㎡"
"重庆豪宅 筑梦嘉州 中渝御府独栋别墅 出则繁华 入则宁静","2000","29629元/㎡","6室3厅3卫","山顶道国宾城...-黄泥磅二手房出售-金山路9号","675㎡"
"美梦成真公寓 轻轨站旁边的公寓 带租约 回 报率高 搞作","58","13809元/㎡","1室1厅1卫","天景美梦城真-学府大道二手房出售-学府大道69号","42㎡"
"中央公园 国际会展中心 近轻轨大3房 带人和街小学指标","135","13917元/㎡","3室2厅2卫","首地江山赋-悦来二手房出售-悦山路5号","97㎡"
"易博华源电梯3房只要99万，精装修，品牌家具家电，视野开阔。","99","11927元/㎡","3室2厅1卫","易博华源-回兴二手房出售-海福路199号","83㎡"
"高品质洋房渝能嘉湾一号读朝阳小学精装三房哦 你值得拥有","120","13793元/㎡","3室1厅1卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","87㎡"
"石坪桥横街 永辉超市 阳光心悦 拎包入住 采光好 配套成熟","68","12830元/㎡","2室2厅1卫","阳光心悦-石坪桥二手房出售-石坪桥横街","53㎡"
"江山国际 精心装修 正规小三房 住家安静","175","18716元/㎡","3室2厅1卫","和泓江山国际-大坪二手房出售-长江二路33号","93㎡"
"融汇半岛三期  精装居家小三室  安心卖  朝中庭住家安静","98","12894元/㎡","3室2厅1卫","融汇香缇卡纳-李家沱二手房出售-融汇大道5号","76㎡"
"蔡家爱琴海 精装3房  拎包入住 带露台","128","14712元/㎡","3室2厅1卫","隆鑫爱琴海3...-蔡家岗二手房出售-同荣路137号","87㎡"
"水天花园洋房 挑高大错层 端户带花园 采光很好 业主安心卖","130","6863元/㎡","5室2厅3卫","水天花园-童家溪二手房出售-同兴北路123号","189㎡"
"老城精装3房 出行方便 配套成熟 视野好看江","80","11111元/㎡","3室2厅1卫","旺德旺城-朝阳二手房出售-文星湾145号","72㎡"
"这个夏天去哪里买房中铁任之健康城，壁山大路镇，城际高铁门口","69","9452元/㎡","2室1厅1卫","中铁任之健康...-三担路","73㎡"
"大学城新盘 富力城院士庭精装修高层 近轻轨 火爆登记中","91","10570元/㎡","3室2厅2卫","富力城瀚湖-沙坪坝二手房出售-大学城中路46号","86㎡"
"鱼轻路 鲁能南渝星城人民广场旁 成熟小区 四校指标 低于市价","95","4418元/㎡","5室2厅2卫","鱼轻路小区-鱼洞二手房出售-鱼轻路47号","215㎡"
"国盛园墅中间跃层,配套设施齐全 实用面积大 环境优雅适合居住","130","15294元/㎡","3室2厅2卫","国盛园墅-大学城二手房出售-西尊路188号","85㎡"
"新杨家坪商圈核心位置，读实验小学，临永辉超市，双轻轨","45","15000元/㎡","1室1厅1卫","蚂蚁公馆-石坪桥二手房出售-杨渡路,近兴堰路","30㎡"
"跳楼价了，金科廊桥大四房，户型方正，读树人临市一中，配套完善","138","11694元/㎡","4室2厅2卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","118㎡"
"袁家岗轻轨站，左邻右舍小区，精装三房，全新家电家具，诚心急售","130","13265元/㎡","3室2厅1卫","左林右舍-谢家湾二手房出售-奥体东路58号","98㎡"
"袁家岗轻轨 上城奥悦精装三房 带超大露台 出行方便 性价比高","145","15104元/㎡","3室2厅2卫","上城奥悦-谢家湾二手房出售-奥体路1号","96㎡"
"大学城，人气好公寓 即买即赚 随时看房 仅售6800平","40","8888元/㎡","1室1厅1卫","富力城河畔里-大学城二手房出售-大学城南路20号","45㎡"
"大学城公寓 清水现房 36万起 单价7500租1200","40","8888元/㎡","1室1卫","富力城河畔里-大学城二手房出售-大学城南路20号","45㎡"
"大学城金科廊桥天都 精装三房双卫 采光好 交通便捷 树人指标","105","12962元/㎡","3室2厅2卫","金科廊桥水乡...-大学城二手房出售-纵五路,近至大南路","81㎡"
"万科金域学府翰林精装修3房自己住家出售带读书名校急售","142","16904元/㎡","3室2厅1卫","万科金域学府...-学府大道二手房出售-二塘路59号","84㎡"
"沙坪坝大学城核心区域丶小户型6800，现房，随时可以看房","38.8","8818元/㎡","1室1厅1卫","富力城河畔里-大学城二手房出售-大学城南路20号","44㎡"
"金剑小学对面步行楼4楼3室2厅1卫37.8万","37.8","3978元/㎡","3室2厅1卫","金桂苑-金剑路219号","95㎡"
"北岸明珠精装修2房，户型方正，采光好，家具家电齐全","95","13199元/㎡","2室2厅1卫","北岸明珠-农业园区二手房出售-果塘路99号","71㎡"
"南坪万达商圈旁，天信双骄，精装大三房，户型正气，视野好，","155","11923元/㎡","3室2厅2卫","天信双骄-南坪二手房出售-南湖路7号","130㎡"
